Geography,Geography_type,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,City,Weekly,6/14/20 0:00,Conventional,1.367060182,199267.48,10239.42,154286.78,494.8,23645.07,0,0,0,10601.4
Albany,City,Weekly,6/21/20 0:00,Conventional,1.490540424,140597.37,10158.75,101629.3,302.25,21430.67,0,0,0,7076.4
Albany,City,Weekly,6/28/20 0:00,Conventional,1.54168596,149462.76,10397.48,114190.76,254.14,20071.58,0,0,0,4548.79
Albany,City,Weekly,7/5/20 0:00,Conventional,1.433643703,146451.1,10223.7,107173.61,341.22,26043.54,0,0,0,2669.03
Albany,City,Weekly,7/12/20 0:00,Conventional,1.522719361,141855.37,6708.1,105628.68,338.27,26141.05,0,0,0,3039.27
Albany,City,Weekly,7/19/20 0:00,Conventional,1.338973144,135758.48,8983.93,92284.57,419.66,30722.78,0,0,0,3347.56
Albany,City,Weekly,7/26/20 0:00,Conventional,1.394884918,163089.46,8398.77,111173.06,199.13,39174.95,0,0,0,4143.55
Albany,City,Weekly,8/2/20 0:00,Conventional,1.183396016,149144.75,7694.9,94214.9,189.29,45028.92,0,0,0,2016.73
Albany,City,Weekly,8/9/20 0:00,Conventional,1.001741708,151700.13,10942.78,104697.48,320.75,34059.2,0,0,0,1679.92
Albany,City,Weekly,8/16/20 0:00,Conventional,1.358984041,159535.06,8317,115801.25,363.85,30213,0,0,0,4839.97
Albany,City,Weekly,8/23/20 0:00,Conventional,1.128180621,119195.04,10552.5,81664.36,354.54,22242.3,0,0,0,4381.34
Albany,City,Weekly,8/30/20 0:00,Conventional,1.042628866,135446.03,8923.81,102863.79,247.83,18731.63,0,0,0,4678.97
Albany,City,Weekly,9/6/20 0:00,Conventional,1.353883982,124227.97,8094.03,89700.13,112.45,21593.79,0,0,0,4727.56
Albany,City,Weekly,9/13/20 0:00,Conventional,1.056936568,113169.54,6390.65,78652.51,119.07,24800.19,0,0,0,3207.12
Albany,City,Weekly,9/20/20 0:00,Conventional,1.061934979,122826.04,6925.76,89135.45,103.3,20077.22,0,0,0,6584.31
Albany,City,Weekly,9/27/20 0:00,Conventional,1.385493165,124474.66,6016.44,94747.85,114.51,20199.27,0,0,0,3396.58
Albany,City,Weekly,10/4/20 0:00,Conventional,1.265458877,106833.49,6545.28,74937.27,98.67,21171.36,0,0,0,4080.91
